precinct,pct_pop,pop_white,pop_nhwhite,pop_black,pop_nhblack,pop_hisp,pop_nonhisp,pop_asian,pop_nhasian,pop_nat,pop_birac,share_wh,share_nhwh,share_bl,share_nhbl,share_hisp,share_nonhisp,share_asian,share_nat,share_bir
01,84799,57501,55608,2655,2410,7024,77775,14624,14537,96,7862,0.6780858264838029,0.6557624500288919,0.031309331477965545,0.028420146,0.082831165,0.9171688345381431,0.17245486385452657,0.001132089,0.092713357
05,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,2935,0.26410134787936285,0.23657061543934543,0.070279458,0.05857939,0.12753468516542155,0.8724653148345785,0.5436380884619946,0.002154235,0.058006245306138585
06,64643,50320,48912,1782,1661,5008,59635,5635,5590,72,5162,0.7784292189409526,0.7566480516065158,0.027566789907646612,0.025694971,0.077471652,0.9225283480036508,0.087171078,0.00111381,0.079853967
07,57985,18416,15512,6934,5456,17241,40744,17779,17608,396,6239,0.3175993791497801,0.26751746141243427,0.11958265068552212,0.0940933,0.2973355178063292,0.7026644821936707,0.30661377942571355,0.006829352,0.10759679227386393
09,75951,41843,38321,6610,5520,17159,58792,11322,11206,480,7839,0.5509209885320799,0.5045489855301445,0.087029796,0.072678437,0.2259219760108491,0.7740780239891509,0.1490697949994075,0.006319864,0.10321128095745942
10,65570,38396,34811,5749,4747,12874,52696,10326,9895,273,6460,0.5855726704285497,0.5308982766509074,0.087677291,0.072395913,0.19633978953789843,0.8036602104621016,0.15748055513192008,0.004163489,0.098520665
13,100050,67019,64496,5078,4637,10164,89886,15270,15139,194,8544,0.6698550724637681,0.6446376811594203,0.050754623,0.046346827,0.10158920539730135,0.8984107946026987,0.15262368815592203,0.00193903,0.085397301
14,28050,13221,12203,3940,3428,3999,24051,7233,7205,103,2030,0.4713368983957219,0.4350445632798574,0.14046345811051694,0.12221033868092691,0.1425668449197861,0.8574331550802139,0.25786096256684493,0.003672014,0.072370766
17,89367,61467,59818,2478,2256,6576,82791,16938,16879,90,6396,0.6878042230353486,0.6693522217373303,0.027728356,0.025244217664238476,0.073584209,0.9264157910638156,0.18953304911208835,0.001007083,0.071570043
18,67528,37793,35536,4810,4199,11327,56201,13318,13231,289,6701,0.5596641393199858,0.5262409667101055,0.071229712,0.062181614,0.1677378272716503,0.8322621727283497,0.19722189314062316,0.004279706,0.099232911
19,220261,170499,166155,5538,5020,17077,203184,22794,22639,240,16070,0.7740771176013911,0.7543550605872125,0.025142899,0.022791143234617114,0.077530748,0.922469252,0.10348631850395668,0.001089616,0.072958899
20,114575,82682,80306,4738,4201,11207,103368,13101,12992,226,9769,0.721640847,0.7009033384246127,0.041352825660048005,0.036665939,0.097813659,0.9021863408247872,0.11434431595025092,0.001972507,0.085262928
22,129,39,32,58,49,32,97,2,2,3,12,0.3023255813953488,0.24806201550387597,0.4496124031007752,0.3798449612403101,0.24806201550387597,0.751937984,0.015503875968992248,0.023255813953488372,0.093023256
23,74769,17324,13021,20650,17320,33989,40780,7765,7647,1135,9449,0.23170030360176008,0.1741497144538512,0.2761839799917078,0.23164680549425565,0.4545867939921625,0.5454132060078375,0.1038532011930078,0.015180088004386845,0.126375904
24,107489,63030,59657,12329,10742,21611,85878,9920,9831,476,11846,0.5863855836411168,0.5550056284829146,0.11470010884834728,0.099935807,0.20105313101805766,0.7989468689819423,0.092288513,0.00442836,0.11020662579426732
25,50996,8254,5844,20629,17987,22752,28244,2265,2178,906,6445,0.16185583182994745,0.11459722331163229,0.40452192328810105,0.3527139383481057,0.44615263942269984,0.5538473605773002,0.044415248,0.017766099301906032,0.12638246136951917
