CB2020,CT2020,BCTCB2020,GEOID,OBJECTID,CTLabel,BoroCT2020,NAME,DP03_0128PE,precinct
"1002","028200","30282001002","360470282001002",1467,"282","3028200",,,"62"
"1002","028600","30286001002","360470286001002",1472,"286","3028600",,,"62"
"1002","028800","30288001002","360470288001002",1474,"288","3028800",,,"62"
"1002","029200","30292001002","360470292001002",1477,"292","3029200",,,"62"
"1002","029400","30294001002","360470294001002",1479,"294","3029400",,,"62"
"1002","029600","30296001002","360470296001002",1481,"296","3029600",,,"62"
"1002","029800","30298001002","360470298001002",1483,"298","3029800",,,"62"
"1002","030200","30302001002","360470302001002",1487,"302","3030200",,,"62"
"1002","040000","30400001002","360470400001002",1569,"400","3040000",,,"62"
"1002","040400","30404001002","360470404001002",1573,"404","3040400",,,"62"
"1002","040600","30406001002","360470406001002",1575,"406","3040600",,,"62"
"1002","041000","30410001002","360470410001002",1579,"410","3041000",,,"62"
"1002","041200","30412001002","360470412001002",1581,"412","3041200",,,"62"
"1002","041401","30414011002","360470414011002",1583,"414.01","3041401",,,"62"
"1002","042400","30424001002","360470424001002",1594,"424","3042400",,,"62"
"1002","042600","30426001002","360470426001002",1596,"426","3042600",,,"62"
"1002","042800","30428001002","360470428001002",1598,"428","3042800",,,"62"
"1002","043400","30434001002","360470434001002",1604,"434","3043400",,,"62"
"1002","043600","30436001002","360470436001002",1606,"436","3043600",,,"62"
"1002","044600","30446001002","360470446001002",1616,"446","3044600",,,"62"
"1003","016800","30168001003","360470168001003",2208,"168","1016800",,,"62"
"1003","017200","30172001003","360470172001003",1364,"172","3017200",,,"62"
"1003","017400","30174001003","360470174001003",1365,"174","3017400",,,"62"
"1003","017600","30176001003","360470176001003",2185,"176","5017600",,,"62"
"1003","017800","30178001003","360470178001003",1368,"178","3017800",,,"62"
"1003","018000","30180001003","360470180001003",1370,"180","3018000",,,"62"
"1003","018200","30182001003","360470182001003",1372,"182","3018200",,,"62"
"1003","018400","30184001003","360470184001003",1374,"184","3018400",,,"62"
"1003","018600","30186001003","360470186001003",1376,"186","3018600",,,"62"
"1003","018800","30188001003","360470188001003",1378,"188","3018800",,,"62"
"1003","019000","30190001003","360470190001003",1379,"190","3019000",,,"62"
"1003","019400","30194001003","360470194001003",2269,"194","1019400",,,"62"
"1003","024200","30242001003","360470242001003",2270,"242","1024200",,,"62"
"1003","024800","30248001003","360470248001003",2284,"248","5024800",,,"62"
"1003","025000","30250001003","360470250001003",1434,"250","3025000",,,"62"
"1003","025600","30256001003","360470256001003",1440,"256","3025600",,,"62"
"1003","026200","30262001003","360470262001003",1447,"262","3026200",,,"62"
"1003","027400","30274001003","360470274001003",1459,"274","3027400",,,"62"
"1003","027800","30278001003","360470278001003",1463,"278","3027800",,,"62"
"1003","028000","30280001003","360470280001003",1465,"280","3028000",,,"62"
"1003","028200","30282001003","360470282001003",1467,"282","3028200",,,"62"
"1003","028600","30286001003","360470286001003",1472,"286","3028600",,,"62"
"1003","029400","30294001003","360470294001003",1479,"294","3029400",,,"62"
"1003","029800","30298001003","360470298001003",1483,"298","3029800",,,"62"
"1003","030200","30302001003","360470302001003",1487,"302","3030200",,,"62"
"1003","030400","30304001003","360470304001003",1489,"304","3030400",,,"62"
"1003","040000","30400001003","360470400001003",1569,"400","3040000",,,"62"
"1003","040400","30404001003","360470404001003",1573,"404","3040400",,,"62"
"1003","041000","30410001003","360470410001003",1579,"410","3041000",,,"62"
"1003","041200","30412001003","360470412001003",1581,"412","3041200",,,"62"
"1003","041401","30414011003","360470414011003",1583,"414.01","3041401",,,"62"
"1003","042400","30424001003","360470424001003",1594,"424","3042400",,,"62"
"1003","042600","30426001003","360470426001003",1596,"426","3042600",,,"62"
"1003","042800","30428001003","360470428001003",1598,"428","3042800",,,"62"
"1003","043600","30436001003","360470436001003",1606,"436","3043600",,,"62"
"1004","016800","30168001004","360470168001004",2208,"168","1016800",,,"62"
"1004","017200","30172001004","360470172001004",1364,"172","3017200",,,"62"
"1004","017400","30174001004","360470174001004",1365,"174","3017400",,,"62"
"1004","017600","30176001004","360470176001004",2185,"176","5017600",,,"62"
"1004","017800","30178001004","360470178001004",1368,"178","3017800",,,"62"
"1004","018400","30184001004","360470184001004",1374,"184","3018400",,,"62"
"1004","018600","30186001004","360470186001004",1376,"186","3018600",,,"62"
"1004","018800","30188001004","360470188001004",1378,"188","3018800",,,"62"
"1004","019000","30190001004","360470190001004",1379,"190","3019000",,,"62"
"1004","024200","30242001004","360470242001004",2270,"242","1024200",,,"62"
"1004","024800","30248001004","360470248001004",2284,"248","5024800",,,"62"
"1004","025000","30250001004","360470250001004",1434,"250","3025000",,,"62"
"1004","025600","30256001004","360470256001004",1440,"256","3025600",,,"62"
"1004","026200","30262001004","360470262001004",1447,"262","3026200",,,"62"
"1004","028000","30280001004","360470280001004",1465,"280","3028000",,,"62"
"1004","028200","30282001004","360470282001004",1467,"282","3028200",,,"62"
"1004","029400","30294001004","360470294001004",1479,"294","3029400",,,"62"
"1004","029800","30298001004","360470298001004",1483,"298","3029800",,,"62"
"1004","030400","30304001004","360470304001004",1489,"304","3030400",,,"62"
"1004","040000","30400001004","360470400001004",1569,"400","3040000",,,"62"
"1004","041000","30410001004","360470410001004",1579,"410","3041000",,,"62"
"1005","016800","30168001005","360470168001005",2208,"168","1016800",,,"62"
"1005","017200","30172001005","360470172001005",1364,"172","3017200",,,"62"
"1005","017400","30174001005","360470174001005",1365,"174","3017400",,,"62"
"1005","017600","30176001005","360470176001005",2185,"176","5017600",,,"62"
"1005","017800","30178001005","360470178001005",1368,"178","3017800",,,"62"
"1005","018800","30188001005","360470188001005",1378,"188","3018800",,,"62"
"1005","024200","30242001005","360470242001005",2270,"242","1024200",,,"62"
"1005","024800","30248001005","360470248001005",2284,"248","5024800",,,"62"
"1005","025000","30250001005","360470250001005",1434,"250","3025000",,,"62"
"1005","025600","30256001005","360470256001005",1440,"256","3025600",,,"62"
"1005","028200","30282001005","360470282001005",1467,"282","3028200",,,"62"
"1005","029400","30294001005","360470294001005",1479,"294","3029400",,,"62"
"1005","029800","30298001005","360470298001005",1483,"298","3029800",,,"62"
"1005","030400","30304001005","360470304001005",1489,"304","3030400",,,"62"
"1005","040000","30400001005","360470400001005",1569,"400","3040000",,,"62"
"1006","016800","30168001006","360470168001006",2208,"168","1016800",,,"62"
"1006","017200","30172001006","360470172001006",1364,"172","3017200",,,"62"
"1006","025000","30250001006","360470250001006",1434,"250","3025000",,,"62"
"1006","029400","30294001006","360470294001006",1479,"294","3029400",,,"62"
"1006","029800","30298001006","360470298001006",1483,"298","3029800",,,"62"
"1007","016800","30168001007","360470168001007",2208,"168","1016800",,,"62"
"1007","017200","30172001007","360470172001007",1364,"172","3017200",,,"62"
"1007","025000","30250001007","360470250001007",1434,"250","3025000",,,"62"
"1007","029400","30294001007","360470294001007",1479,"294","3029400",,,"62"
"1008","029400","30294001008","360470294001008",1479,"294","3029400",,,"62"
"1009","029400","30294001009","360470294001009",1479,"294","3029400",,,"62"
"1009","030400","30304001009","360470304001009",1489,"304","3030400",,,"62"
"1010","029400","30294001010","360470294001010",1479,"294","3029400",,,"62"
"1010","030400","30304001010","360470304001010",1489,"304","3030400",,,"62"
"2000","015000","30150002000","360470150002000",1347,"150","3015000",,,"62"
"2000","017000","30170002000","360470170002000",1363,"170","3017000",,,"62"
