precinct,pct_pop,pop_white,pop_nhwhite,pop_black,pop_nhblack,pop_hisp,pop_nonhisp,pop_asian,pop_nhasian,pop_nat,pop_birac,share_wh,share_nhwh,share_bl,share_nhbl,share_hisp,share_nonhisp,share_asian,share_nat,share_bir
46,132584,8476,1991,41668,34598,90730,41854,2040,1888,2364,18689,0.06392928256803235,0.015016894949616846,0.3142762324262354,0.2609515476980631,0.6843208833645086,0.3156791166354915,0.015386471972485367,0.017830205756350692,0.14095969347734266
47,163539,13660,9349,104678,99024,44186,119353,3551,3440,1089,14982,0.08352747662637047,0.0571667920190291,0.6400797363320064,0.605506943297929,0.2701863164138218,0.7298136835861783,0.021713475073224124,0.006658962082439051,0.09161117531597968
48,89216,11313,5653,29060,23765,56181,33035,1243,1148,1502,11834,0.12680460903873744,0.06336307388809183,0.32572632711621236,0.2663759863701578,0.6297188845050216,0.3702811154949785,0.013932478479196557,0.01683554519368723,0.13264436872309898
49,119881,32302,26298,27188,23578,53974,65907,11339,11154,1453,15608,0.2694505384506302,0.21936753947664767,0.22679156830523603,0.1966783727196136,0.4502298112294692,0.5497701887705307,0.09458546391838574,0.012120352683077385,0.13019577747933367
50,106976,39578,34115,14782,11273,52328,54648,5507,5329,993,15519,0.3699708345797188,0.3189033054142985,0.13818052647322765,0.10537877654801077,0.4891564463057134,0.5108435536942866,0.05147883637451391,0.009282455877953934,0.1450699222255459
52,146888,15886,8272,30514,24467,100021,46867,10244,10025,2840,22086,0.10815042753662654,0.05631501552203039,0.20773650672621316,0.16656908665105385,0.6809337726703338,0.31906622732966616,0.06974021022820108,0.019334458907466913,0.1503594575458853
60,109024,58916,56425,14506,13052,17519,91505,18049,17940,715,6615,0.5403947754622835,0.5175465952450836,0.13305327267390665,0.11971675961256237,0.1606893894922219,0.8393106105077781,0.16555070443205167,0.006558189022600528,0.06067471382447901
61,169513,107999,105654,7259,6642,15677,153836,34533,34347,687,9965,0.637113377735041,0.6232796304708194,0.042822674367157684,0.039182835534737746,0.09248258245680273,0.9075174175431973,0.2037188888167869,0.004052786511948936,0.05878605180723602
62,198870,75907,72496,2848,2353,31489,167381,86466,86067,2283,11311,0.3816915572987379,0.36453964901694574,0.01432091315935033,0.0118318499522301,0.15833961884648262,0.8416603811535174,0.43478654397345,0.011479861215869663,0.056876351385327095
63,112652,41229,39729,49319,48030,10247,102405,8665,8614,405,7950,0.36598551290700565,0.35267017008131235,0.4377995952135781,0.426357277278699,0.0909615452899194,0.9090384547100806,0.07691829705642154,0.0035951425629371873,0.07057131697617441
66,205377,123991,121295,5326,4794,25170,180207,42477,42293,1529,10691,0.6037238833949273,0.5905968049002566,0.02593279675913077,0.023342438539855973,0.12255510597583956,0.8774448940241605,0.20682452270702173,0.007444845333216475,0.05205548819974973
67,162446,6751,5837,130621,127289,13313,149133,3090,3036,571,14528,0.0415584255691122,0.03593194046021447,0.8040887433362471,0.783577311845167,0.08195338758725977,0.9180466124127402,0.019021705674501066,0.0035150142201100672,0.08943279612917523
68,136071,72917,69293,2802,2356,23233,112838,36818,36619,991,9874,0.5358746536734499,0.5092414989233562,0.020592190841545958,0.017314490229365553,0.17074174511835732,0.8292582548816426,0.27057932990865063,0.007282962571010723,0.07256505794768907
69,90763,4138,3455,73947,72127,7594,83169,1900,1865,223,6960,0.04559126516311713,0.03806617233894869,0.8147262651080286,0.7946740411841829,0.08366845520751848,0.9163315447924815,0.020933640360058615,0.0024569483159437217,0.07668322995053051
70,164568,63923,61736,48574,46445,24726,139842,21485,21317,1214,13928,0.3884290992173448,0.3751397598561081,0.2951606630693695,0.2822237616061446,0.15024792183170482,0.8497520781682951,0.13055393515142677,0.007376889796315201,0.08463370764668708
71,102000,29584,28532,54740,52807,10478,91522,2708,2640,335,8716,0.2900392156862745,0.27972549019607845,0.5366666666666666,0.5177156862745098,0.10272549019607843,0.8972745098039215,0.026549019607843137,0.003284313725490196,0.08545098039215686
72,133230,37667,31915,5424,4209,52310,80920,40609,40415,2815,13511,0.28272160924716655,0.23954814981610748,0.040711551452375594,0.03159198378743526,0.3926292876979659,0.6073707123020341,0.30480372288523605,0.021128874878030474,0.1014110935975381
73,98506,5373,3347,70765,66418,21709,76797,1413,1331,697,9201,0.05454490081822427,0.033977625728382026,0.7183826365906645,0.6742533449739102,0.22038251477067386,0.7796174852293262,0.014344303900270035,0.0070757111241954804,0.09340547783891337
75,200994,12658,6428,100195,92617,73762,127232,15070,14779,2072,24545,0.06297700428868523,0.03198105416082072,0.4984974675860971,0.46079484959750044,0.3669860791864434,0.6330139208135567,0.07497736250833358,0.010308765435784153,0.12211807317631372
76,47789,28940,27184,6409,5572,9134,38655,3039,2998,255,5236,0.6055786896566155,0.5688338320534014,0.1341103601247149,0.11659586934231728,0.19113185042583022,0.8088681495741697,0.06359204000920714,0.005335955973131893,0.10956496264830819
77,101267,28691,27086,51032,48696,13380,87887,4865,4760,371,10110,0.2833203314011475,0.26747114064799,0.5039351417539771,0.48086740991635973,0.1321259640356681,0.8678740359643319,0.04804131651969546,0.003663582410854474,0.09983508941708552
78,73203,48410,46560,6295,5731,9769,63434,6149,6069,226,8315,0.661311694875893,0.6360395065775993,0.08599374342581588,0.07828914115541713,0.13345081485731458,0.8665491851426854,0.08399928964659918,0.0030873051650888625,0.11358824091908802
79,106039,37115,34605,40932,38582,20834,85205,5539,5460,735,10054,0.35001273116494874,0.32634219485283716,0.38600892124595665,0.3638472637425853,0.19647488188308077,0.8035251181169193,0.05223549826007412,0.006931412027650204,0.09481417214421109
81,68921,13309,11987,40043,38094,11954,56967,2588,2528,465,6723,0.19310514937392087,0.1739237677921098,0.5809985345540546,0.5527197806183892,0.1734449587208543,0.8265550412791457,0.03755023867906734,0.006746855094963799,0.09754646624396048
83,120747,33874,27883,21055,18163,61627,59120,7593,7402,2332,16146,0.28053699056705345,0.2309208510356365,0.17437286226572918,0.15042195665316738,0.5103812102992207,0.4896187897007793,0.06288354990186092,0.019313109228386627,0.13371760789087928
84,65597,40166,38723,6519,6053,7193,58404,9446,9376,162,6648,0.6123145875573578,0.5903166303337043,0.09937954479625592,0.09227556138238029,0.1096544049270546,0.8903455950729454,0.14400048782718722,0.0024696251352958215,0.10134609814473222
88,64372,25351,23975,20359,18974,9832,54540,7347,7289,319,6587,0.3938202945379979,0.37244454110482816,0.316271049524638,0.29475548375069904,0.15273721493817188,0.8472627850618282,0.11413347418132107,0.004955570745044429,0.10232709873858199
90,131377,80989,75685,9779,7867,33797,97580,7995,7869,845,12278,0.6164625467167008,0.5760901832131956,0.07443464228898514,0.05988110552075325,0.2572520304162829,0.7427479695837171,0.06085540086925413,0.006431871636587835,0.09345623663198277
94,72748,50876,48597,3301,2825,11679,61069,5836,5762,351,7407,0.6993456864793534,0.6680183647660417,0.04537581789190081,0.038832682685434654,0.16054049595865177,0.8394595040413482,0.08022213669104306,0.004824874910650465,0.10181723208885468
100,50809,27528,25976,12598,11780,8671,42138,1876,1843,349,4150,0.5417937766931056,0.5112480072428113,0.24794819815387037,0.23184868822452714,0.17065874156153438,0.8293412584384656,0.03692259245409278,0.006868861815820032,0.08167844279556771
101,73376,16237,14213,35225,33092,19922,53454,1769,1710,683,6651,0.22128488879197558,0.19370093763628435,0.48006160052333186,0.4509921500218055,0.27150566942869603,0.728494330571304,0.02410870039249891,0.009308220671609246,0.0906427169646751
102,153297,29355,23382,11934,10249,63683,89614,39235,38847,3222,23090,0.19149102722166775,0.15252744672107085,0.07784888158280984,0.06685714658473421,0.41542235007860556,0.5845776499213944,0.25594108169109636,0.021018023836082898,0.15062264754039545
103,121059,5461,2953,42514,40779,31078,89981,32103,31915,2177,12204,0.04511023550500169,0.02439306453877861,0.35118413335646254,0.3368522786409932,0.2567177987592827,0.7432822012407173,0.26518474462865216,0.01798296698304133,0.10081034867296111
104,178948,94267,85977,5141,3912,64507,114441,19624,19333,1720,18933,0.5267843172318215,0.4804580101481995,0.02872901625053088,0.02186109931376713,0.36047902183874647,0.6395209781612535,0.10966314236537988,0.00961173078212665,0.10580168540581622
105,199218,21054,18192,105514,102711,24911,174307,37173,36954,1369,16536,0.10568322139565701,0.09131704966418697,0.5296408959029807,0.5155708821492034,0.12504392173397985,0.8749560782660202,0.1865945848266723,0.0068718690078205785,0.08300454778182695
106,129391,29507,25670,19070,17971,30577,98814,28115,27838,3298,18855,0.22804522725691895,0.198390923634565,0.1473827391395074,0.13888910356980005,0.23631473595536012,0.7636852640446399,0.21728713743614317,0.025488635221924245,0.14572110888701686
107,161402,47979,44302,19963,18682,29486,131916,60722,60413,1158,14263,0.29726397442410873,0.2744823484219526,0.12368496053332673,0.11574825590760957,0.1826867077235722,0.8173132922764278,0.3762159081052279,0.007174632284606138,0.08836941301842605
108,137962,43712,39285,4427,3778,40652,97310,49115,48826,1725,14364,0.31684086922485905,0.28475232310346327,0.03208854612139574,0.027384352212928197,0.29466084863948044,0.7053391513605196,0.3560038271408069,0.012503442977051651,0.10411562604195358
109,269581,62277,55882,6153,5407,48845,220736,154909,154403,1234,16945,0.23101405514483586,0.2072920569327957,0.022824308834821446,0.02005705149843646,0.18118858524896042,0.8188114147510396,0.5746287757668381,0.004577473931768188,0.06285680370649267
110,181051,17365,9329,8905,7688,93982,87069,66356,65964,4829,18264,0.0959122015343743,0.05152691782978277,0.049185036260501185,0.04246317335999249,0.519091305764674,0.48090869423532595,0.36650446559256783,0.026672042684105585,0.1008776532579218
111,122211,44586,41967,2916,2641,14460,107751,60251,59980,262,7764,0.36482804330215773,0.3433978938066132,0.023860372634214595,0.02161016602433496,0.11831995483221641,0.8816800451677835,0.49300799437039217,0.002143833206503506,0.06352946952401993
112,119739,55730,52603,3829,3443,19600,100139,37348,37151,451,12739,0.46542897468661004,0.43931384093737214,0.03197788523371667,0.028754207067037473,0.16368935768630105,0.836310642313699,0.31191174137081484,0.0037665255263531513,0.10638973099825454
113,135221,2734,1654,100027,97441,15209,120012,7096,7019,1480,11981,0.02021875300434104,0.01223182789655453,0.7397297757005199,0.7206055272479867,0.11247513330030098,0.887524866699699,0.05247705607856768,0.010945045518077814,0.0886031015892502
114,208525,102554,94829,18486,16518,51513,157012,34179,33886,1866,23334,0.49180673780122286,0.45476082004555807,0.08865124085841027,0.07921352355832634,0.24703512768253208,0.7529648723174679,0.16390840426807338,0.008948567318067377,0.1119002517683731
115,179134,26261,17643,10054,8690,113447,65687,34726,34456,4894,24443,0.14659975214085544,0.09849051548003171,0.05612558196657251,0.048511170408744295,0.6333080263936495,0.36669197360635053,0.193854879587348,0.02732033003226635,0.13645092500586153
120,122308,46574,41611,28782,26021,35890,86418,14002,13816,1410,12593,0.3807927527226347,0.34021486738398143,0.23532393629198417,0.21274977924583838,0.2934395133597148,0.7065604866402851,0.11448147300258364,0.011528272884848088,0.10296137619779573
121,128149,61832,56936,17664,16020,31517,96632,19670,19517,1517,10633,0.4825008388672561,0.4442953124878072,0.13783954615330593,0.12501072969746155,0.24594027265136678,0.7540597273486332,0.15349319932266345,0.011837782581214056,0.08297372589719779
122,144552,104075,99681,4494,3831,18737,125815,18771,18642,464,9139,0.7199831202612209,0.6895857546073385,0.031089158226797278,0.026502573468371243,0.12962117438707177,0.8703788256129282,0.12985638386186285,0.0032099175383253084,0.0632229232386961
123,100738,83038,79753,1099,963,10816,89922,6836,6778,208,6455,0.8242966904246659,0.7916873473763625,0.010909487978717068,0.009559451249776649,0.10736762691337925,0.8926323730866207,0.06785919911056404,0.002064762056026524,0.06407711092140007
